,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Hobart,100,AU,1579965707,77,-42.88,147.33,66.0,1.01
1,Constitucion,0,CL,1579965902,38,-35.33,-72.42,72.21,8.25
2,Carnarvon,0,AU,1579965902,74,-24.87,113.63,77.43,22.84
3,Aklavik,100,CA,1579965718,95,68.22,-135.01,-13.76,24.36
4,Nelson Bay,99,AU,1579965923,90,-32.72,152.15,77.0,3.89
5,Hasaki,100,JP,1579965923,78,35.73,140.83,41.0,14.52
6,Rikitea,0,PF,1579965818,79,-23.12,-134.97,78.12,13.56
7,Maningrida,98,AU,1579965933,80,-12.07,134.27,84.67,15.57
8,Arraial do Cabo,0,BR,1579965933,83,-22.97,-42.03,75.47,18.5
9,Lavrentiya,0,RU,1579965934,78,65.58,-171.0,-15.79,2.91
10,Barrow,90,US,1579965747,67,71.29,-156.79,-25.6,6.93
11,Fortuna,100,US,1579965934,91,40.6,-124.16,57.0,3.0
12,Hohhot,0,CN,1579965934,62,40.81,111.65,11.14,1.12
13,Lira,100,UG,1579965934,41,2.23,32.91,82.42,8.7
14,Nikolskoye,99,RU,1579965943,71,59.7,30.79,32.0,3.0
15,Punta Arenas,100,CL,1579965875,62,-53.15,-70.92,55.0,25.99
16,New Norfolk,100,AU,1579965944,72,-42.78,147.06,66.0,1.99
17,Xiuyan,0,CN,1579965944,53,40.29,123.27,22.73,4.97
18,Dikson,100,RU,1579965945,96,73.51,80.55,-7.2,9.48
19,Ribeira Grande,100,PT,1579965945,90,38.52,-28.7,56.66,9.26
20,Jinchang,100,CN,1579965955,60,38.5,102.17,21.24,2.57
21,Ushuaia,100,AR,1579965776,87,-54.8,-68.3,44.04,7.4
22,Auki,65,SB,1579965955,77,-8.77,160.7,84.27,13.6
23,Gao,0,ML,1579965956,5,16.64,1.64,93.4,17.56
24,Vaini,91,TO,1579965956,86,-21.2,-175.2,78.26,21.72
25,Bhisho,0,ZA,1579965965,65,-32.85,27.44,80.6,6.93
26,Grindavik,75,IS,1579965966,93,63.84,-22.43,37.4,16.11
27,Leningradskiy,95,RU,1579965967,89,69.38,178.42,-14.55,3.11
28,Sao Joao da Barra,99,BR,1579965967,91,-21.64,-41.05,73.98,8.37
29,Asau,0,RO,1579965965,47,46.43,26.4,42.01,5.01
30,Derzhavinsk,100,KZ,1579965968,93,51.1,66.32,6.51,23.47
31,Esperance,0,AU,1579965973,81,-33.87,121.9,66.09,5.95
32,Yulara,0,AU,1579965973,17,-25.24,130.99,81.82,10.65
33,Jamestown,100,US,1579965973,10,42.1,-79.24,39.0,5.23
34,Kapaa,45,US,1579965974,59,22.08,-159.32,68.0,7.34
35,Ahipara,67,NZ,1579965793,100,-35.17,173.17,61.0,5.23
36,Mataura,79,NZ,1579965984,89,-46.19,168.86,53.01,1.12
37,Khatanga,96,RU,1579965984,89,71.97,102.5,-16.53,2.51
38,Kavieng,62,PG,1579965833,71,-2.57,150.8,83.28,6.98
39,Chicama,71,PE,1579965863,62,-7.84,-79.15,77.58,6.53
40,College,100,US,1579965985,83,64.86,-147.8,-6.0,3.13
41,Touros,0,BR,1579965985,81,-5.2,-35.46,82.63,17.4
42,Qaanaaq,4,GL,1579965989,54,77.48,-69.36,-13.94,3.24
43,Bodden Town,47,KY,1579965990,64,19.28,-81.25,80.01,7.0
44,Albany,40,US,1579966050,80,42.6,-73.97,41.0,11.1
45,Lompoc,90,US,1579965983,100,34.64,-120.46,57.2,3.36
46,Guaymas,98,MX,1579965988,96,27.93,-110.9,54.0,1.99
47,Ponta do Sol,0,PT,1579965897,73,32.67,-17.1,66.0,1.01
